,symbol,time stamp,open,high,low,close,volume
35133,TSLA,2023-02-24 13:33,195.32,195.38,195.03,195.3799,283968
35134,TSLA,2023-02-24 13:34,195.3799,195.54,195.26,195.52,172807
35135,TSLA,2023-02-24 13:35,195.54,196.05,195.5,195.8765,515055
35136,TSLA,2023-02-24 13:36,195.8701,196.05,195.8479,196.0313,232132
35137,TSLA,2023-02-24 13:37,196.02,196.2,195.8201,195.8601,339550
35138,TSLA,2023-02-24 13:38,195.876,196.0499,195.76,196.03,218661
35139,TSLA,2023-02-24 13:39,196.04,196.1,195.9,196.05,183161
35140,TSLA,2023-02-24 13:40,196.065,196.41,196.065,196.39,403219
35141,TSLA,2023-02-24 13:41,196.372,196.3908,196.06,196.0799,285651
35142,TSLA,2023-02-24 13:42,196.0762,196.23,195.82,195.9685,247519
35143,TSLA,2023-02-24 13:43,195.9428,196.15,195.9,196.11,152155
35144,TSLA,2023-02-24 13:44,196.1041,196.2,196.0,196.0599,142008
35145,TSLA,2023-02-24 13:45,196.06,196.0847,195.8409,195.935,169279
35146,TSLA,2023-02-24 13:46,195.93,196.06,195.87,196.012,127086
35147,TSLA,2023-02-24 13:47,196.02,196.25,196.02,196.23,241670
35148,TSLA,2023-02-24 13:48,196.2378,196.32,195.9937,196.065,220789
35149,TSLA,2023-02-24 13:49,196.0799,196.15,196.01,196.09,121654
35150,TSLA,2023-02-24 13:50,196.06,196.2,196.01,196.0576,133652
35151,TSLA,2023-02-24 13:51,196.0579,196.19,195.95,196.1001,154816
35152,TSLA,2023-02-24 13:52,196.1154,196.3,196.1,196.11,224102
35153,TSLA,2023-02-24 13:53,196.1199,196.2017,196.0501,196.1,139597
35154,TSLA,2023-02-24 13:54,196.1,196.15,195.8901,196.0271,193036
35155,TSLA,2023-02-24 13:55,196.04,196.17,195.95,196.1224,183469
35156,TSLA,2023-02-24 13:56,196.105,196.105,195.94,195.9527,157028
35157,TSLA,2023-02-24 13:57,195.97,196.14,195.9306,195.975,167578
35158,TSLA,2023-02-24 13:58,195.96,196.0,195.55,195.64,311349
35159,TSLA,2023-02-24 13:59,195.6499,195.6499,195.39,195.628,243372
35160,TSLA,2023-02-24 14:00,195.65,195.79,195.61,195.6801,211825
35161,TSLA,2023-02-24 14:01,195.69,195.86,195.64,195.7999,159711
35162,TSLA,2023-02-24 14:02,195.7826,196.11,195.78,196.0,244395
35163,TSLA,2023-02-24 14:03,196.0,196.2768,195.99,196.2627,357754
35164,TSLA,2023-02-24 14:04,196.28,196.35,196.09,196.17,286168
35165,TSLA,2023-02-24 14:05,196.1781,196.1995,196.03,196.1579,170253
35166,TSLA,2023-02-24 14:06,196.15,196.54,196.14,196.4799,448206
35167,TSLA,2023-02-24 14:07,196.4521,196.65,196.36,196.3723,271225
35168,TSLA,2023-02-24 14:08,196.37,196.44,196.22,196.2663,177840
35169,TSLA,2023-02-24 14:09,196.26,196.3106,196.155,196.2157,145626
35170,TSLA,2023-02-24 14:10,196.21,196.21,195.83,195.9,297600
35171,TSLA,2023-02-24 14:11,195.91,195.919,195.66,195.6874,207282
35172,TSLA,2023-02-24 14:12,195.6999,195.6999,195.33,195.49,345719
35173,TSLA,2023-02-24 14:13,195.52,195.6692,195.3775,195.55,237174
35174,TSLA,2023-02-24 14:14,195.59,195.82,195.581,195.7401,196393
35175,TSLA,2023-02-24 14:15,195.76,196.19,195.76,196.1799,315055
35176,TSLA,2023-02-24 14:16,196.1775,196.24,196.03,196.1518,234919
35177,TSLA,2023-02-24 14:17,196.1374,196.145,195.88,196.0,164935
35178,TSLA,2023-02-24 14:18,195.9973,196.16,195.97,196.1286,164191
35179,TSLA,2023-02-24 14:19,196.11,196.2,196.03,196.08,122980
35180,TSLA,2023-02-24 14:20,196.0979,196.12,195.71,195.725,220429
35181,TSLA,2023-02-24 14:21,195.7161,195.94,195.69,195.75,143059
35182,TSLA,2023-02-24 14:22,195.76,195.99,195.74,195.9799,163109
35183,TSLA,2023-02-24 14:23,195.9535,196.05,195.52,195.686,345893
35184,TSLA,2023-02-24 14:24,195.685,195.94,195.53,195.9051,255203
35185,TSLA,2023-02-24 14:25,195.905,196.3,195.905,196.1901,319840
35186,TSLA,2023-02-24 14:26,196.195,196.2999,196.12,196.17,241627
35187,TSLA,2023-02-24 14:27,196.1704,196.1704,195.82,195.865,241725
35188,TSLA,2023-02-24 14:28,195.8751,195.8799,195.65,195.66,234011
35189,TSLA,2023-02-24 14:29,195.67,195.83,195.55,195.7299,208484
35190,TSLA,2023-02-24 14:30,195.74,195.85,195.38,195.395,279517
35191,TSLA,2023-02-24 14:31,195.409,195.7,195.4,195.6999,190689
35192,TSLA,2023-02-24 14:32,195.6826,195.7899,195.65,195.7499,178837
35193,TSLA,2023-02-24 14:33,195.72,195.75,195.48,195.49,147475
35194,TSLA,2023-02-24 14:34,195.4801,195.67,195.17,195.19,309792
35195,TSLA,2023-02-24 14:35,195.19,195.29,195.02,195.2299,336603
35196,TSLA,2023-02-24 14:36,195.1918,195.3,194.948,194.95,361434
35197,TSLA,2023-02-24 14:37,194.95,195.25,194.95,195.175,217707
35198,TSLA,2023-02-24 14:38,195.1926,195.23,195.0201,195.11,195517
35199,TSLA,2023-02-24 14:39,195.122,195.29,195.115,195.1999,219245
35200,TSLA,2023-02-24 14:40,195.19,195.23,194.9,195.03,237519
35201,TSLA,2023-02-24 14:41,195.038,195.0699,194.84,195.0199,189564
35202,TSLA,2023-02-24 14:42,195.0299,195.0722,194.82,194.8701,183452
35203,TSLA,2023-02-24 14:43,194.885,194.96,194.79,194.8532,223310
35204,TSLA,2023-02-24 14:44,194.8401,195.08,194.8401,194.975,178494
35205,TSLA,2023-02-24 14:45,194.9816,195.44,194.88,195.34,342441
35206,TSLA,2023-02-24 14:46,195.31,195.5489,195.28,195.5489,297773
35207,TSLA,2023-02-24 14:47,195.5381,195.63,195.48,195.6,268270
35208,TSLA,2023-02-24 14:48,195.5901,195.955,195.5801,195.919,347169
35209,TSLA,2023-02-24 14:49,195.9,196.09,195.82,195.99,344275
35210,TSLA,2023-02-24 14:50,195.99,196.2,195.85,196.1701,300082
35211,TSLA,2023-02-24 14:51,196.185,196.32,196.07,196.12,337554
35212,TSLA,2023-02-24 14:52,196.13,196.25,196.04,196.21,221501
35213,TSLA,2023-02-24 14:53,196.21,196.22,195.961,195.9714,239670
35214,TSLA,2023-02-24 14:54,195.97,196.17,195.97,196.0469,197395
35215,TSLA,2023-02-24 14:55,196.0675,196.11,195.87,196.07,225364
35216,TSLA,2023-02-24 14:56,196.06,196.58,196.05,196.5301,534733
35217,TSLA,2023-02-24 14:57,196.5424,196.8,196.4452,196.69,402430
35218,TSLA,2023-02-24 14:58,196.6934,196.94,196.651,196.8399,366039
35219,TSLA,2023-02-24 14:59,196.81,196.85,196.64,196.8399,260290
35220,TSLA,2023-02-24 15:00,196.849,197.08,196.8396,197.06,514599
35221,TSLA,2023-02-24 15:01,197.06,197.25,196.95,197.0601,435018
35222,TSLA,2023-02-24 15:02,197.05,197.15,196.84,196.91,294018
